ID,Date,Category,Layer,Entity / Scope,What the source says,What we did,Why / basis,Rows affected
QNL-029,2026-08-28,Structure,Metadata,FCU/AHU/HEX control valves; FCU 2F 034-062 and 1F 059-065,"The BAS valve schedule (BAS_QNL_Assets.pdf) gives each unit's CHW control-valve model, FCU actuator model and design flow","Added a brick:Cooling_Valve part to every FCU/AHU/HEX with rec:modelNumber (FCU valves+actuators Honeywell; AHU/HEX valves ITQ, make not stated); FCU actuator as a para:Valve_Actuator sub-part; gap-filled para:ratedChilledWaterFlowrate on the 43 FCUs that had none (all of 2F 034-062, 1F 059-065)",The BAS is a valid as-built source; brick:Cooling_Valve is Dar Cairo's CHW-valve class (76 uses); para:Valve_Actuator minted (no Brick/Dar Cairo/SSC class for a valve actuator),334
QNL-030,2026-08-28,Units,Metadata,"FCU 1F-002, 1F-003, 2F-005 chilled-water flow",The BAS valve schedule gives 0.36 L/s where the Euroclima selection sheet gave 0.27 L/s,"Kept the Euroclima value; did not overwrite. Flagged for the supplier. The other 91 of 94 shared FCUs agree within +/-0.02 L/s, verifying the metadata","Two sources, minor disagreement on 3 units; the Euroclima selection sheet is the equipment nameplate, the BAS the valve sizing - a supplier question, not ours to resolve",3
QNL-031,2026-09-03,Structure,Metering,"virtual metering layer, 1,460 meters",No metering layer existed. A hand-built workbook (VirtualMeters_QNL_manual_v1.xlsm) proposed one from a 9-class x 3-tier matrix.,"Regenerated the layer from that tier matrix against the live ontology rather than importing the workbook, and archived the workbook under projects/QNL/sources/.",None of the workbook's 353 room identifiers matched the live sheet - it was built before align_naming ran. Regenerating makes the identifiers agree by construction instead of by remap.,"8,760"
QNL-032,2026-09-03,Identifier,Metering,353 room-tier meters,Workbook rooms read QNL_B_001A_BREAK-OUT-AREA; the ontology reads QNL_B-001A_Break-Out-Area.,Used the ontology form. Zero identifiers changed in the ontology.,"A fuzzy key (case, separators, leading zeros) matched 353 of 353, so the two name the same rooms; the ontology form is the one the rest of the sheet and the crosswalk already use.",n/a
QNL-033,2026-09-03,Scope,Metering,entity:QNL_L1-145_ILL-Director,The workbook metered 353 rooms; the ontology has 354.,Gave it the same four room-tier meters as its siblings.,"The room was added by the room-retarget pass (QNL_room_retarget_changes.csv, ""new room"") after the workbook was built. Note the open question from that pass: if 144 and 145 are one room, 144 should be retired and its meters with it.",32
QNL-034,2026-09-03,Units,Metering,732 thermal meter points,"The workbook gave CHW and HW thermal points unit:KiloW and unit:KiloW-HR, the same tokens as the electrical meters. Dar Cairo splits: brick:Thermal_Power_Meter uses para:KiloWt/para:KiloWt-HR, its own para:CHW_Meter is 70 rows kW against 2 kWt.","Used para:KiloWt and para:KiloWt-HR, and declared both as qudt:Unit rows.","Client decision. Thermal kW written as unit:KiloW is indistinguishable from electrical kW, so any building rollup that sums demand double-counts. Diverges from the 7 pre-existing QNL thermal rows on unit:KiloW - those are left alone and listed for a later pass.",732
QNL-035,2026-09-03,Structure,Metering,"2,920 meter points","Dar Cairo populates every virtual-meter point with a ref:TimeseriesReference. The QNL historian (QNL_Historian_IO_list_CP2.xlsx) carries no calculated tags at all - zero *_CALC, zero ContributionFraction.","Wrote the points with no reference row, and listed all 2,920 in QNL_virtual_meter_timeseries_pending.csv with the Dar Cairo tsid proposed and entityId blank.","The workbook wrote 2,912 reference rows with both keys blank. A half-filled blank node looks finished and reads as a working telemetry link; an absent one is visible as W-PT-1 and tracked in a file.","2,920 (W-PT-1)"
QNL-036,2026-09-03,Structure,Metering,297 AHU-fed terminal units,"Client asked for para:contributionFraction on every unit fed by an AHU, skipping units in shafts or risers.",Added it to all 297 (246 VAV + 51 CAV) with tsid ContributionFraction and the entityId each unit's existing points already carry.,"The shaft rule matched nothing: QNL's shaft-dwelling assets are 62 FCUs and 2 exhaust fans, and no AHU feeds any of them. The rule is implemented for the next building. entity:QNL_CAV-B-S13-050 carries no points, so its entityId was derived - the derivation matches all 296 units that do have one.",594
QNL-037,2026-09-03,Class,Metering,entity:QNL_Utility-Virtual-Meter and entity:QNL_CHW-Power-Thermal-Virtual-Meter,"QNL already carries entity:QNL_Total-Energy (para:Utility_Meter, live historian tag QNL_TotalEnergy.Energy) and entity:QNL_CHWS-MAIN-LOOP_Energy-Meter (brick:Building_Chilled_Water_Meter, 7 live points). The tier matrix asks for a building-tier Utility Meter and CHW Meter as well.",Kept both virtual meters. entity:QNL_Utility-Virtual-Meter was suppressed on 2026-09-03 and RESTORED the same day.,"Client direction 2026-09-03, reversing an earlier decision in this same log: a physical meter does not duplicate a virtual one. The physical meter reads what is actually imported at one point in the plant; the virtual meter is a calculated roll-up over a space. The gap between them is losses and unmetered load, and seeing that gap is the point. The generator now REPORTS overlaps (PHYSICAL_OVERLAP) rather than skipping them. Restores the meter count to 1,460.",6 restored
QNL-038,2026-09-03,Source defect,Metering,brick:Electrical_Meter family,"14 pre-existing physical meters (MFM, VCB) share brick:Electrical_Meter with the 360 new virtual ones, so check_consistency compares them as one family.",Left the class as-is; 25 E-CON errors are accepted and named here.,Dar Cairo does the same - brick:Electrical_Meter covers both its physical and virtual meters. Splitting the virtual ones under a para: subclass would depart from the primary reference to quiet a checker.,25 (E-CON-1/2)
QNL-039,2026-09-03,Source defect,Metering,all 16 pre-existing physical meters,"None carries a brick:meters row. Each is brick:isPartOf entity:Electrical_System with points, and nothing says what it measures.",Left them as they are; recorded the gap and hand-listed the one suppression it blocked.,"The ""virtual only where physical does not exist"" rule cannot be evaluated from the graph while this holds - it needs a human to say what each meter covers. Adding the brick:meters rows is the durable fix and is proposed in the handover.",0
QNL-040,2026-09-03,Scope,Metering,entity:QNL_CHWS-MAIN-LOOP_Energy-Meter vs the building-tier para:CHW_Meter,"QNL carries a brick:Building_Chilled_Water_Meter on the main CHW loop with 7 live points, among them CHW-Consumption-KW and CHW-CHW-Energy-PV.",Kept entity:QNL_CHW-Power-Thermal-Virtual-Meter for now and raised the overlap.,"OPEN. By the same rule that removed the Utility virtual meter, this pair looks like a duplicate - the loop meter measures the building's chilled water. Different classes, so no checker will catch it. Needs confirmation that the loop meter covers the whole building.",6
QNL-041,2026-09-03,Source defect,Metadata,VAV 1F-S15-006 to 009 and B-S15-001 to 004,"Two MEP drawings schedule the same boxes and disagree on air flow. 1F: 290 l/s on the S11/S15 drawing against 220 l/s on the second 1F drawing. Basement: 261 l/s on the heating-capacity drawing against 251 l/s on the model-and-make drawing. QNL_Full_Metadata.xlsx recorded both and its Open Items sheet marks each ""Unresolved"".",Kept 290 l/s and 251 l/s; dropped the other eight rows.,"Client decision 2026-09-03, on one rule: where two drawings of the same schedule disagree, keep the one that names the box model, since the flow has to match the box selected. 290 comes with model NBOQOB250 and makes boxes 005-009 one consistent run; 251 comes with model NBOQE03. Title blocks are cropped on every drawing image, so no revision date could settle it instead. Reversible - both values remain in QNL_Full_Metadata.xlsx.",8 dropped
QNL-042,2026-09-03,Source defect,References,all 564 ref:IFCReference rows,"Every row declares para:IFC_ID with a blank value; ref:ifcName carries the entity identifier. No reference model carries a real IFC GUID either - across Dar Cairo, SSC, HQ and QNL, none of 2,133 values matches the 22-character IfcGloballyUniqueId shape.","Filled all 564 para:IFC_ID cells with the entity identifier, the same string ref:ifcName already carried. QF SSC's shape.","Client decision 2026-09-03. SSC writes the identifier into both columns on all 165 of its IFC rows; QNL was already built to that shape but left IFC_ID empty. Note that no delivered model carries a real IFC GUID - across Dar Cairo, SSC, HQ and QNL none of 2,133 values matches the 22-character IfcGloballyUniqueId shape - so para:IFC_ID holds the asset tag, not the BIM GUID that CLAUDE.md describes. If real GUIDs are exported later they overwrite these in one pass.",564 (574 errors -> 10)
QNL-043,2026-09-03,Location,Equipment,27 standalone assets with no room,"The asset register gives no room for 6 CRACs, 2 DX units, 1 CAV, 1 VAV, 1 booster pump, 15 electrical meters and the CHW loop energy meter. Earlier practice was to write no rec:locatedIn at all rather than invent one.","Wrote rec:locatedIn at the most specific level the evidence supports: the FLOOR where the floor is identifiable, the BUILDING where it is not. 4 resolved to a floor, 23 to the building. Every one already carried brick:isPartOf its system, so no system row was needed.","PROJECT ASSUMPTION FOR QNL ONLY - not a house rule, and deliberately not written into the skill. Assert the most specific containment that is actually known: an asset whose floor is identifiable goes on that floor, one whose floor is not goes on the building. rec:feeds is still not written - the served space is the part nobody knows. Dar Cairo has precedent for building-level location (36 entities). Excludes the 173 parts that also lack a location (137 CHW valves, 22 fans, 10 HEX valves, 2 breakers, 2 pumps), each of whose parent is already located in a named room: a part inherits its parent's location, and writing the building on it would replace a precise inherited location with a vaguer asserted one. CHWS-MAIN-LOOP_Energy-Meter is the one part that was located, because its parent loop is itself at the building. Clears 27 W-GR-2; the 10 E-FEED-1 stand.",27
QNL-044,2026-09-03,Location,Equipment,3 assets retargeted from the building to a floor,"No room in the register, but a floor is identifiable from other evidence.",entity:QNL_CAV-1F-S15-001 -> entity:QNL_L1; entity:QNL_VAV-B-S13-005 -> entity:QNL_B; entity:QNL_DX-RP21 -> entity:QNL_P. entity:QNL_CHWPU-P02 was considered and deliberately LEFT at the building.,"Evidence per asset, and only where a source states it. CAV-1F-S15-001: the 1F tag token, which resolves to Level 1 on 134 of the 135 located assets that carry it. VAV-B-S13-005: the B token, 202 of 202. DX-RP21: QNL_Full_Metadata.xlsx states Level ""Roof level"" and room served ""PLC 8 / IDF ROOF PLANT""; entity:QNL_P is labelled ""Roof Plant"". CHWPU-P02 was NOT moved: the only basis was that its pair CHWPU-P01 sits in entity:QNL_B-220_Plant-Room-04, which is inference from a sibling rather than a source. Client decision 2026-09-03 - hold it at the building until the floor is confirmed on site.",3
QNL-045,2026-09-03,Structure,Equipment,"entity:QNL_TEF_B01, _B02, _B03","The BMS controls the basement toilet exhaust fans as three sets - QNL_TEF_B01, B02, B03 - each with 13 group-level points including ChOverSel and ChOverHrsSP (changeover select and hours). The ontology modelled only the six individual fans TEF-B01A/B, B02A/B, B03A/B, each feeding one toilet, and carried the three set entities as subjects typed para:Local_Status - a POINT class - sitting under entity:HVAC as if they were equipment, owned by nothing.","RESOLVED. Each set is now entity:QNL_TEF-B0n typed brick:Exhaust_Fan, carrying rec:locatedIn the plant room, rec:feeds BOTH toilets, brick:hasPart its two fans, and the LocSts point. The fans lost their isPartOf, locatedIn and single feeds rows - they inherit from the unit - and kept their five run/trip/command points and their own para:ratedExhaustAirFlowrate. The three para:Local_Status pseudo-equipment rows are gone. 24 rows dropped, 24 added. The 36 remaining group-level points were then added too (12 per set), so all 39 historian tags on the base TEF_B0n keys now resolve.","Four independent sources agree these are TWIN-FAN units, not two fans serving a toilet each. (1) The O&M manual states twin fans A and B. (2) The HVAC drawing shows one duct reaching TEF/B/01, with one riser splitting to serve both toilet blocks. (3) The BMS carries ChOverSel and ChOverHrsSP on the base tag - changeover between the twins. (4) The sheet's own nameplate data: one Nuaire model number per pair (AXT80P-413A, AXT71P-413A, AXT35M-211A) and IDENTICAL rated flow within each pair (1538/1538, 970/970, 400/400) - each fan sized for the full duty, which is duty/standby, not two rooms. The old model also invited a 2x airflow double-count, since A and B sat as sibling equipment each rated for the whole unit. Rated flow stays on the fans only, by client direction, so the unit total is not restated. All 39 group-level tags are now modelled.","24 dropped, 96 added"
QNL-046,2026-09-03,Class,Points,4 new para: classes for the TEF group points,Twelve group-level points per twin-fan set needed classes. Eight resolved on the ladder; four had no match anywhere.,"RESTORED. The four classes are back with the group points they type: para:Duty_Priority, para:Remote_Status, para:Start_Count, para:Trip_Count.","Client direction 2026-09-04, overriding the selected list for the TEF family only (QNL-051). The ladder work recorded here was never in doubt - only whether the points it typed were in scope.",4 declarations added then removed
QNL-047,2026-09-03,Scope,Points,50 per-fan historian tags on the TEFs,"The historian carries 131 TEF tags. After the group-point pass, 81 resolve and 50 do not: FTSP, FTST, FltRst, RuntimeMtr, StartsCtr and TripCtr on each of the six twin fans and on TEF-101C and TEF-102C, plus RemSts on the two standalone fans.",RESTORED. All 50 per-fan points are back on the six twin fans and the two standalone fans.,"Client direction 2026-09-04 (QNL-051). The class resolutions stand as recorded: FTSP -> para:Fail_Stop_Alarm, FTST -> para:Fail_Start_Alarm, FltRst -> brick:Fault_Reset_Command, RuntimeMtr -> brick:On_Timer_Sensor (unit:HR), StartsCtr -> para:Start_Count, TripCtr -> para:Trip_Count, RemSts -> para:Remote_Status. All 131 historian TEF tags resolve again.",50 added then removed
QNL-048,2026-09-03,Scope,Points,"1,314 historian tags across 28 other equipment families","The cross-check that closed QNL-047 was run against the whole historian, not just the TEFs. The same seven suffixes (FTSP, FTST, FltRst, RuntimeMtr, StartsCtr, TripCtr, RemSts) appear on 28 other equipment families and are not modelled: VAV 247, AHU 146, ELE 145, FCU 137, EF 136, DX 120, CCU 62, SEF 62, CAV 51, SurfaceWtr 45, CHW 29, KEF 28, and the rest in ones and twos.","CLOSED - not needed. None of the 1,314 tags appears on Selected_PARA_OS_Data_Points_v4.0, so none is in scope. No rows added.","Client direction 2026-09-04. Verified by reconciling every timeseries id in the sheet against the selected list: 2,754 of 2,754 selected tags are present, and nothing selected is missing. The 1,314 are historian tags the integration was not asked to deliver.",0
QNL-049,2026-09-04,Scope,Points,149 points pruned to match the selected datapoint list,"Selected_PARA_OS_Data_Points_v4.0.xlsx carries 2,769 rows / 2,754 unique tags, all marked ""Must Have"". The sheet carried 149 points beyond it: 86 TEF (QNL-046 and QNL-047), 60 ELEC MFM daily/monthly rollups (KWDaily, KWMonthly, MWDaily, MWMonthly, kWhpreviousdatadaily, kWhpreviousdatamonthly on 10 MFM units, where the list selects only .KW and .KWh), and 3 on VAV_1F_S15_039S.","Removed all 149, plus the 4 para: class declarations left with no user. The sheet now reconciles exactly: 2,754 of 2,754 selected tags present, nothing selected missing, and one unselected id remaining by design.","Client direction 2026-09-04: the points must match the selected datapoints and nothing beyond. ContributionFraction is the one deliberate exception - it is an internal container the backend fills by calculation, so its absence from a list of BMS tags is expected rather than a selection gap. The MFM rollups are a second reason to drop rather than a reluctant one: daily and monthly kW/kWh are derived from the .KW and .KWh the list does select, and the virtual metering layer computes exactly those rollups, so carrying them as raw points would put two answers to the same question in the graph. Removals are listed in QNL_pruned_points.csv; the pruning is reproducible via projects/QNL/prune_to_selected.py.","60 points, 120 rows net (149 removed; 3 restored under QNL-050, 86 under QNL-051)"
QNL-050,2026-09-04,Source conflict,Points,"entity:QNL_VAV-1F-S15-039S - 3 points dropped, likely a gap in the selection","The asset register lists VAV_1F_S15_039S as a box in its own right, serving L1-048 Staff Office, distinct from VAV_1F_S15_039 which serves L1-002A Green Room. The historian carries 5 tags for it. Selected_PARA_OS_Data_Points_v4.0 carries none - it selects QNL_VAV_1F_S15_039.DmprPos / .DuctAirFlow / .EffectiveSP but no 039S equivalent.","Dropped the 3 points under QNL-049, then RESTORED them on client confirmation the same day. The equipment entity was kept intact throughout. prune_to_selected.py now exempts the three tags by name, so a re-run does not strip them again.","RESOLVED. Client direction 2026-09-04, confirming this was an omission in the selection rather than a decision: the box is real in the asset register, it serves a room no other box serves, and the near-identical 039 is selected. Leaving it out would have left Staff Office L1-048 with no VAV telemetry in the delivered graph. The sheet now carries four unselected ids, all exempt by name and for stated reasons: ContributionFraction plus these three.","3 points restored, 6 rows"
QNL-051,2026-09-04,Structure,Equipment / Points,"entity:QNL_TEF-B01, -B02, -B03 and their six fans","The twin fans were typed brick:Exhaust_Fan - the same class as the unit they are part of - so a twin-fan set read as an exhaust fan containing two exhaust fans. Separately, 86 of the 131 historian TEF points had been pruned under QNL-049 for not being on the selected datapoint list.","Two changes, both TEF-only. (1) The six twin fans are retyped brick:Fan, on their own rows and as the objectType of the parent's brick:hasPart row - 84 rows. TEF-101C and TEF-102C are single standalone fans and stay brick:Exhaust_Fan units. (2) All 86 pruned points are restored with their 4 para: class declarations, so the TEFs carry all 131 historian tags again.","Client direction 2026-09-04. On the class: the ladder gives brick:Fan. Dar Cairo has no brick:Fan - its fan parts are an AHU's supply and exhaust fans, which is a different concept from a fan as a component. Brick 1.4 carries brick:Fan as a preferred term. QF HQ already uses exactly this shape - entity:HQ_CCU_B0001 brick:CRAC brick:hasPart entity:HQ_CCU_B0001_Fan brick:Fan, with the part carrying its own points - so it is step 3 precedent, not a coinage. On the points: this overrides the selected list for one family. The selected list keeps 45 TEF tags and drops the changeover setpoint, duty priorities, runtime meters and counters - which are precisely the evidence that a duty/standby pair is rotating, so a twin-fan set without them cannot be read at all. Every other family still matches the selection exactly. The override is enforced in prune_to_selected.py as a named family exemption, so a re-run does not strip them again. The consistency checker now reports more findings on brick:Exhaust_Fan (76, up from 46) because the five TEF units carry far more points than their 22 EF and KEF siblings - that is the family-uniformity check reporting a deliberate difference, not a defect.","86 points restored, 176 rows; 84 rows retyped"
QNL-052,2026-09-07,Class,Points,six Air Terminal contribution points on all 299 VAV and CAV,"The client supplied six calculated points for every air terminal - cooling, heating and electrical, power demand and energy consumption - with timeseries ids AT_CWPWR_KWT_CALC, AT_CWPWR_KWHT_CALC, AT_HEATPWR_KWT_CALC, AT_HEATPWR_KWTH_CALC, AT_ELEC_KW_CALC and AT_ELEC_KWH_CALC. None of the six appears anywhere in the historian IO list (11,617 rows) or in Selected_PARA_OS_Data_Points_v4.0 (2,769 rows) - no exact match and no AT_, _CALC, CWPWR or HEATPWR pattern at all. The spec typed the two cooling points as brick:Electric_Power_Sensor and brick:Electrical_Energy_Usage_Sensor while giving both a thermal unit.","Added all six to all 299 terminals (247 VAV, 52 CAV) - 1,794 points, 3,588 rows. The cooling pair is corrected to brick:Thermal_Power_Sensor / para:KiloWt and brick:Thermal_Energy_Usage_Sensor / para:KiloWt-HR, matching the heating pair. The other four are as specified. Each point carries the fixed timeseries id and the terminal's own para:hasEntityId, the same shape para:contributionFraction already uses.","Client direction 2026-09-07. On the absence from the IO list: these are calculated, not published - the _CALC suffix says so - and the skill's rule is that a calculated point's key comes from the calculation engine's register, not the IO list, exactly as ContributionFraction already does. The six ids are exempt by name in prune_to_selected.py so a re-run does not strip them. On the cooling classes: cooling is a thermal quantity and the tags themselves say so - CW is chilled water and KWT is thermal kW - while the heating pair beside them already used the thermal classes. Left as specified, a rollup filtering on class would have summed every terminal's chilled-water demand into the building's electrical demand, and been wrong with nothing to flag it - the inverse of the trap the skill already documents. Corrected on client direction. One thing NOT corrected: AT_CWPWR_KWHT_CALC and AT_HEATPWR_KWTH_CALC spell the same suffix two ways, KWHT against KWTH. One is almost certainly a typo, but both are join keys, so they are written verbatim as supplied and flagged rather than normalised.","1,794 points, 3,588 rows"
